;quote;author;book;category
25162;You would destroy yourselves but He would be your savior.;Aleksandra Layland; Ansgar: The Struggle of a People. The Triumph of the Heart.;love
16862;I know that suffering is one place where He ministers to us the most. So to think that we've had our quota would be foolish. I am just longing for the day when all the pain stops.;Mary Beth Chapman; Choosing to SEE;love
17734;No one can grasp the love of the God of the universe without knowing His Son.;Billy Graham; Billy Graham in Quotes;love
10421;We ought to love, encourage and support each other.;Lailah Gifty Akita; Pearls of  Wisdom: Great  mind;love
5832;Love is as much a question of the will as it is of the emotion. And if you will to love somebody, you can. - Ravi Zacharias' brother;Ravi Zacharias; I, Isaac, Take Thee, Rebekah: Moving from Romance to Lasting Love;love
7648;Mercifully one forgets one's love affairs as one forgets one's dreams.;Iris Murdoch; The Sea, the Sea;love
2285;If she spoke, she would tell him the truth: she was not okay at all, but horribly empty, now that she knew what it was like to be filled.;Jodi Picoult; Plain Truth;love
20093;Ah, merciless Love, is there any length to which you cannot force the human heart to go?;Virgil; The Aeneid;love
24321;I knew you didn't love me, but I dangerously adored you anyways.;R. Y.S. Perez; I Hope You Fall in Love: Poetry Collection;love
18896;Well, memory can play tricks. Most people, I think, tend to remember the good rather than the bad when someone close to them dies.;Soheir Khashoggi; Nadia's Song;love
5569;I hear you knocking but I can't let you in. The last time almost killed me. Love, My heart;Alfa H; Abandoned Breaths;love
7526;Legend has it, dwarves were made to uncover all the riches hidden on earth. Not just golds or precious stones, but the beauty in people's hearts. -Eric;Lily Blake; Snow White & the Huntsman;love
17783;The best practice is to be around people who absolutely disagree. Grace in conflict is a study in love.;Bryant McGill; Simple Reminders: Inspiration for Living Your Best Life;love
15500;FRIENDSLooking out the window, I see you looking in.You are the sunshine,That fills my soul.;Giorge Leedy; Uninhibited From Lust To Love;love
15468;I want you to make a list of all of your favorite things, and I want to be on it.;Tahereh Mafi; Ignite Me;love
2739;Arise, my friend – the world is wailing for kindness – it is wailing for compassion – it is wailing for love.;Abhijit Naskar; Wise Mating: A Treatise on Monogamy;love
27759;Soaking is also positioning yourself for an encounter with God, to be with Him. You do the positioning, He does the encounter.;Linda Boone;" Intimate Life Lessons; developing the intimacy with God you already have.";love
18459;Love gives us a heightened consciousness through which to apprehend the world, but anger gives us a precise, detached perception of its own.;Scott Spencer; Endless Love;love
10116;Speak to the breeze cautiously during those lonely summer nights.;Marlen Komar; Ugly People Beautiful Hearts;love
13676;Prayer enables you to tap into God’s wisdom anywhere, anytime, no matter what’s going on.;Elizabeth George; Prayers to Calm Your Heart: Finding the Path to More Peace and Less Stress;love
18590;When we find her, I'm still going to fight for her.-Emil-;Angela Corbett; Eternal Starling;love
11822;Heed my words, daughter, if you ever mean to be happy: Never give yourself to a man.;Donna Woolfolk Cross; Pope Joan;love
14661;Love is a Dance set on the stage of Forgiveness and Grace.;Todd Stocker; Refined: Turning Pain Into Purpose;love
27608;Was the happiness of knowing these girls really unattainable? It would certainly not have been the first happiness of that sort which I had abandoned all hope of ever enjoying?;Marcel Proust; In the Shadow of Young Girls in Flower;love
12163;I want you to lie to me just as sweetly as you know how for the rest of my life.;F. Scott Fitzgerald; Gatsby Girls;love
2968;You might fear you don’t have what it takes, but you don’t need to have all the answers or everything figured right from the start.;Mensah Oteh; The Best Chance: A Guide to Discovering Your Purpose, Reaching Your Potential, Experiencing Fulfilment and Achieving Success in Any Area of Life;love
19525;They fell in love the way you do the first time, when you're young, and you feel as if you have nothing and everything to lose;Rainbow Rowell; Eleanor & Park;love
3438;He leaned upon her as if there was no other support anywhere in the world, and she held him as if she would undertake no other task for all eternity.;Sharon Shinn; Angelica;love
290;It doesn't matter who you are or what you look like, so long as somebody loves you.;Roald Dahl; The Witches;love
3050;Waiting is often a decision not to accept responsibility and is one of the reasons why some people never reach their potential.;Mensah Oteh; Wisdom Keys In Words: A collection of the Inspirational words that will change your life;love
17656;I didn’t know what darkness was until I lost you;Sylvain Reynard; The Raven;love
20963;We were in a phase, through television and the movies, of living only vicariously. Even faintly sordid silliness excited us if it put us in contact with love.;John Irving; A Prayer for Owen Meany;love
17749;Evil is real—but so is God’s power and love.;Billy Graham; Billy Graham in Quotes;love
1177;Our love was a two-person game. At least until one of us died, and the other became a murderer. ;Dark Jar Tin Zoo; Love Quotes for the Ages. Specifically Ages 19-91.;love
19781;he stretched out beside her, uncomfortably close, as if they were lovers. Real lovers and not the most mismatched pair of fuck buddies ever.;Larissa Ione; Pleasure Unbound;love
17430;Love is the only way. There has been enough pain, enough war, enough killing. Enough. No more.;Ellen Newhouse; Nothing Ever Goes On Here;love
6563;Life ought to be live with great optimism.;Lailah Gifty Akita; On Eagles Wings:Rise;love
19449;I realized it was like looking into the sun—you shouldn't do it, because you'd turn your face away and be blind to everything else.;Jodi Picoult; Picture Perfect;love
22055;He doesn't teach you what to think, he teaches you how to think;Lurlene McDaniel; Don't Die, My Love;love
3102;The greatest love stories are not those in which love is only spoken, but those in which it is acted upon.;Steve Maraboli; Unapologetically You: Reflections on Life and the Human Experience;love
15547;All discarded lovers should be given a second chance, but with somebody else.;Mae West; Wit & Wisdom of Mae West;love
26470;You can never have for yourself someone who isn't on good terms with himself.;Pascal Mercier; Night Train to Lisbon;love
35;I would die for you. But I won't live for you.;Stephen Chbosky; The Perks of Being a Wallflower;love
16466;Sometimes the rainfallsjust for you and meto be the violinplaying in the backgroundof our loneliness's song.;Sanober  Khan; A touch, a tear, a tempest;love
15791;Live as though today is your last, love as though tomorrow will never come, and dream as if there are no limits.;Gary Westfal; Dream Operative;love
24023;"I gotta go but... I miss you. That's all.""""I miss you too"", I say hugging my body tightly with the sleeves of his shirt.This... Is falling.";Ginger Scott; This is Falling;love
27369;Life would have been easier if he'd never taught her to believe in heroes by handing her those cookies that day, but it wouldn't have been nearly as magnificent either.;Kele Moon; Crossing the Line;love
19100;I think she is beautiful, but in a way that is not friendly, like in a way that just makes me want her to be mine.;Abraham M. Alghanem; Summer and Autumn;love
14914;"None of us will truly have freedom until we know what it means to lose everything"" - Laney";Bailey Vincent; The Details of How We Lived;love
27905;Love is about filling up the space, not making more holes.;Sara San Angelo; Drift;love
6987;I'm an open book in a closed room.;Christina Strigas; Love & Vodka: a book of poetry for glass hearts;love
27149;"Aye, though he loved her from his soul with such a self denying love as woman seldom wins; he spoke from first to last of Martin.";Charles Dickens; Martin Chuzzlewit;love
5869;Trying to change someone to suit your desires is a setup for disappointment.;Carlos Wallace; The Other 99 T.Y.M.E.S: Train Your Mind to Enjoy Serenity;love
19037;And you’re absolutely breathtaking.;Kenya Wright; Escape;love
1516;The knowledge that she would never be loved in return acted upon her ideas as a tide acts upon cliffs.;Thornton Wilder; The Bridge of San Luis Rey;love
4462;Lui mi dava e mi toglieva e volevo supplicarlo di smetterla.;Vanessa Vescera; Le parole di una Rosa;love
6526;You cannot use another man's leg to run your race. Wives stop waiting for your husbands to do everything. For God's sake make an impact. Nobody is a threat to your development.;Patience Johnson; Why Does an Orderly God Allow Disorder;love
17062;Half naked, he drank her in with his eyes, imprinting this moment into his mind. This, he would take to his death – the woman that stirred him to life.;Dianna Hardy; Cry Of The Wolf;love
6568;The greatest secret of life is never give up. Don’t give up on yourself, your dreams and your family.;Lailah Gifty Akita; Pearls of  Wisdom: Great  mind;love
13705;Prayer is a way, a road we build for love to walk into our lives.;Summer Kinard; Can't Buy Me Love;love
22034;We are like guests on this Earth, either we get to be nice or we get to be bad;Catherine Anderson; Always in My Heart;love
13278;Create a standard for yourself and not a limit. A limit tells where you can reach in life, but standard tells about what you will love to do best at a time!;Israelmore Ayivor; The Great Hand Book of Quotes;love
858;Hope is not about proving anything. It's about choosing to believe this one thing, that love is bigger than any grim, bleak shit anyone can throw at us.;Anne Lamott; Plan B: Further Thoughts on Faith;love
11430;It feels great to do what you love.;Lailah Gifty Akita; Think Great: Be Great!;love
16816;"Her smile didn't mean her suffering was over, but when it appeared it was something beautiful to see; a rare flower.";Melissa C. Water; Lady Injury;love
5617;Your body is a temple and I'm in need of serious prayer.;Melody  Lee; Moon Gypsy;love
12993;The great way to live life is to love.;Lailah Gifty Akita; Pearls of  Wisdom: Great  mind;love
21845;The truth had been said but evil had been done.;#NAME?; Connected: Bonds Deep;love
477;Forever and ever, kid, until you're sick and tired of seeing me.;Marie Lu; Legend;love
21149;Love hath no pride.;Karen Marie Moning; Kiss of the Highlander;love
6887;Always look into the future when deciding how to use your time in the present.;Mensah Oteh; Wisdom Keys In Words: A collection of the Inspirational words that will change your life;love
2862;I keep the light and love from my ancestors and let go of the rest.;Amy Leigh Mercree; Joyful Living: 101 Ways to Transform Your Spirit and Revitalize Your Life;love
7668;Dreams, just dreams, it's all illusion;Bangambiki Habyarimana; Pearls Of Eternity;love
1830;If I love you, is that a fact or a weapon?;Margaret Atwood; Power Politics;love
6652;She's the kind of girl who brings you to the moon without you even being aware. The kind of girl you trip in love with, The kind of girl you never forget.;Melody  Lee; Moon Gypsy;love
18043;He's the boy who smokes Marlboro cigarettes and I'm the girl who makes theater puppets. Dreams and ashes—two things in the universe that should never meet because they are opposites, right?;Rae Hachton; The Summer of Me & You;love
9125;Love brought its tail of pains,its long static beam of thorns,and we close our eyes so that nothing,so that no wound will separate us.;Pablo Neruda; 100 Love Sonnets;love
2017;Love of love written by the broken hearted, love of life written by the dead.;Mark Z. Danielewski; House of Leaves;love
17797;When you have nothing to offer, love gives abundantly.;E'yen A. Gardner; Love Letters;love
9678;Before you save the world, make sure your own house is in order.;Charles F. Glassman; Brain Drain   The Breakthrough That Will Change Your Life;love
26547;If you lovesomeone, tell them.;Alison G. Bailey; Present Perfect;love
10581;We had been two sides of the same coin, attached by a force stronger than family or friends. We had been one.;Robin M. King; Memory of Monet;love
15215;Love is the greatest self.;Lailah Gifty Akita; Think Great: Be Great!;love
14035;I shout at him to remind him of his duties. That does not mean that I do not trust him at all.;Anuradha Bhattacharyya; The Road Taken;love
27870;They had a saying: An Arab loves in the order of: his son, his camel, and his wife - but there were times when one was allowed to take precedence over the other!;Margaret Rome; Palace of the Hawk;love
20779;He tangles his hand in my hair, and the other cups my jaw. Although I have this all planned, his lips feel shockingly sweet, swollen and soft, and more like home every time;Alex Rosa; Tryst;love
20322;A few years ago, a priest working in a slum section of a European city was asked why he was doing it, and replied, 'So that the rumor of God may not completely disappear.;Peter L. Berger; A Rumor of Angels: Modern Society and the Rediscovery of the Supernatural;love
9887;The value of time cannot be bought with money.;Lailah Gifty Akita; Think Great: Be Great!;love
25711;Whether life finds us guilty or not guilty, we ourselves know we are not innocent.;Sándor Márai; Judit... és az utóhang;love
10874;You know what, your imagination works faster than your mind.;Simona Panova; Nightmarish Sacrifice;love
25325;He is the complete opposite of her, or maybe just a completion of her.;Anna Banks; Of Triton;love
5115;I’d rather listen to what you think of yourself, than what the whole world has to say about you.;Abhijit Naskar; The Bengal Tigress: A Treatise on Gender Equality;love
20352;Having a baby is part of a woman's life, and it is surely a great waste to be afraid of life.;Joan Lowery Nixon; In The Face of Danger;love
6;Have you ever been in love? Horrible isn't it? It makes you so vulnerable. It opens your chest and it opens up your heart and it means that someone can get inside you and mess you up.;Neil Gaiman; The Kindly Ones;love
6802;It's the gravity of love that makes you fall,and it's the same force that builds you up.;Drishti Bablani; Wordions | Uns;love
2436;I told him I had once lost everything I had, too, and that I think that can be God’s way of building walls around us to force us to look up at Him.;Kimberly Novosel; Loved;love
27819;sometimes you need to make a mess.;Ann Brashares; The Second Summer of the Sisterhood;love
6324;There is no envy, jealousy, or hatred between the different colors of the rainbow. And no fear either. Because each one exists to make the others’ love more beautiful.;Aberjhani; Journey through the Power of the Rainbow: Quotations from a Life Made Out of Poetry;love
10087;People do understand the language of the heart, you know, even if the head does not always comprehend it.;Mary Balogh; The Proposal;love
18206;I will never hurt you.I will always help you.If you are hungryIll give you my food.If you are frightenedI am your friend.I love you now.And love does not end.;Orson Scott Card; Songmaster;love
16666;Love is that which gives of itself, not because anyone needs it or deserves it, but because that is what love does.;Vivian Amis; I AM - The Key to Manifesting;love
18160;When you pray and hope for a change. Don't expect a change to come. Expect the opportunity for a change to come.;Jonathan Anthony Burkett; Neglected But Undefeated: The Life Of A Boy Who Never Knew A Mother's Love;love
3615;Because you have only known me for like fourteen seconds and seven of those were us making out and you still know more about me than all of my friends in this stupid place.;Maggie Stiefvater; Forever;love
10980;I loved you, you know... It's not my fault the world is what it is.;Ed Brubaker; Fatale, Book One: Death Chases Me;love
3320;Falling in love is not a rational process. It can't be planned or avoided. It happens--for good or bad it simply happens. - Katrina Svensen;Suzanne Selfors; Coffeehouse Angel;love
4753;...the wet brush of snowflakes was like your kisses everywhere ...;John Geddes; A Familiar Rain;love
23085;Take the fact that you were created to love. Your heart can find real joy only through love - through loving and being loved.;Thomas Goodwin; What Happens When I Pray;love
20640;Love is such a deep gratitude. When you are truly in love with life, every breath you take is gratitude.;Bryant McGill; Simple Reminders: Inspiration for Living Your Best Life;love
25763;Dip him in the river who loves water.;William Blake; The Marriage of Heaven and Hell;love
21100;While I cannot prevent the birds from flying over my head, I can prevent them from making a nest in my hair. - Chapter 5 My Cinderella;Santosh Avvannavar; The Departing Point: Two people departed...in search of love...leaving love in between;love
13941;You're the light that shines on the dark places of my soul;Noelle  Adams; Salvation;love
4850;Faith doesn't get you around problems in life and relationships, it gets you through it.;Jonathan Anthony Burkett; Friends 2 Lovers: The Unthinkable;love
20492;Just because a person is young doesn’t mean that being loyal to someone isn’t important. And it still hurts if someone isn’t loyal to you.;C.C. Hunter; Awake at Dawn;love
18360;I made promises to you that I'm not sure I can keep.;Judy Blume; Forever . . .;love
13928;When your ego surrenders to the Higher Self, you become a Human Angel: a radiating center of Light, an active and conscious part of the Uni-versal project of Love.;Human Angels; We are human angels;love
12397;All paths lead me to you.;Truth Devour; Unrequited;love
26538;That’s all kids want to know—that you love them.;Kim Harrison; Into the Woods: Tales from the Hollows and Beyond;love
14881;I was physically attacked by a woman who didn’t even know me. Yes, my boyfriend was her former husband, but she tried to ruin me.;Brenda Perlin; Shattered Reality;love
24318;...love comes from the head and not the heart. Of the entire body, only the head matters.;Kim Thúy; Ru;love
8855;It’s time that Islam should be redefined by the world based upon, the goodness of all the peace-loving Muslims, instead of the theoretical teachings of some books, be it Quran or the Hadith.;Abhijit Naskar; The Islamophobic Civilization: Voyage of Acceptance;love
1157;I’m a fake fact factory. The things I make are the things I make up. Also, as a side business, I make love. Actually, I just made that up.;Dora J. Arod; Love quotes for the ages. And the ageless sages.;love
2287;Why is this so hard?” I whispered.His pulse leaped crazily at my admission. “Everything worth fighting for is hard.;Rachel Vincent; Shift;love
22305;But if all this time between them had taught him anything, it was that they were orbiting the same fate. Together, always together, even when physically apart.;Debra Anastasia; Return to Poughkeepsie;love
15455;Have you ever felt really close to someone? So close that you can't understand why you and the other person have two separate bodies, two separate skins?;Nancy Garden; Annie on My Mind;love
629;Failed relationships can be described as so much wasted make-up.;Marian Keyes; Watermelon;love
23240;Oak, granite,Lilies by the road,Remember me?I remember you.Clouds brushingClover hills,Remember me?Sister, child,Grown tall,Remember me?I remember you.;Gail Carson Levine; Ella Enchanted;love
20054;Everyone wants to feel like they could destroy a small-to-medium-to-large part of someone who loves them.;Catherine Lacey; Nobody Is Ever Missing;love
18162;We must rebuild organic communities, where people can come together and have analogue conversations and share stories, art, music and emotions.;Bryant McGill; Voice of Reason;love
7547;Weird people love well.;Craig Groeschel; Weird: Because Normal Isn't Working;love
16619;Mediation on the scriptures transforms our lives.;Lailah Gifty Akita; Think Great: Be Great!;love
8793;We may be just a drop in the ocean, but even the ocean envies the depth of our love.;Maria Elena; Eternal Youth;love
17515;She thought of the Good Shepherd with His sheep. Of the Man hanging upon the cross. And the understanding bubbled up within her soul: He makes all things new.;Alicia G. Ruggieri; The Fragrance of Geraniums;love
26422;At the end of the day we can’t be that selfish to accept the love they think we deserve.;Sarvesh Jain; Naked Wisdom of the child;love
21470;Ashlinn was lovely to look upon, someone who could easily snub half of the highest-paid stars in Hollywood and break the hearts of the rest.;Calista Lynne; We Awaken;love
26173;The presence of hundreds of books had finally convinced Hermione that what they were doing was right.;J.K. Rowling; Harry Potter and the Order of the Phoenix;love
5713;It takes only one word to hurt a woman, a matter of seconds, one stupid, impatient blow of the crop. But winning back her trust takes years. And sometimes there isn't the time.;Nina George; The Little Paris Bookshop;love
16716;If the moon faerie became like the sun faerie, there would be eternal day and if the sun faerie became like the moon faerie, it would be pitch dark. Therefore you balance each other out. Do you see?;Anja Owona Okoa; What if we're faeries?;love
12037;I just thought I had to do it. You want this boy to like you, right? And he’s so solid, so sure of himself. He knows what he wants: you. Besides, maybe if he touches you, you’ll be real.;George Ella Lyon; Holding on to Zoe;love
7600;In this world, those who have fallen in love cannot make clear judgements.;Feng Nong; A Lonesome Fragrance Waiting to be Appreciated;love
10439;Let go of all your worries, embrace hope.;Lailah Gifty Akita; Pearls of  Wisdom: Great  mind;love
7426;Good friends are much hard to find.;Natalie Palmer; Second to No One;love
15041;That’s how it felt – that the loss of him had a life of its own. I lived with it as I could have lived with him. Some nights it was quiet and sometimes it pounded on my door.;Kimberly Novosel; Loved;love
24211;I hope your only rocky road is chocolate.;Amanda Mosher; Better to be able to love than to be loveable;love
16616;We are grateful for a happy marriage and a glorious future. Four years of a happy marriage! Happy Anniversary my dearest husband, Jeremiah Nii Mama Akita! I love you with all my heart, soul and body.;Lailah Gifty Akita; Pearls of  Wisdom: Great  mind;love
17171;fall in lovewith your solitude;Rupi Kaur; Milk and Honey;love
16299;Speaking kind words starts a wave of love in motion that brings more love upon your shores.;Molly Friedenfeld; The Book of Simple Human Truths;love
10100;Affection is invaluable. I will accept your heart as payment and change your mind.;Amanda Mosher; Better to be able to love than to be loveable;love
16077;Her model of self-control with food is why I have never had an issue in this area.  Praise God for my mom's good example in how to eat.;Lisa Bedrick; Thoughts on Christian Motherhood;love
23255;Welcome to Sex Media, Where Fantasy Becomes Reality!;Carla H. Krueger; Sex Media;love
27681;Have you killed a man, drowned a crocodile, hunted a wolf, or raped an abuser? Stop pretending you love someone.;M.F. Moonzajer; LOVE, HATRED AND MADNESS;love
25904;When the hatred stops will the love begin? When there is no more greed will there then be peace?;Sherman Kennon; My Thoughts;love
21705;There was a necklace inside. A thin silver chain with a small pendant, a silver pansy.;Rainbow Rowell; Eleanor & Park;love
13081;We are forever becoming! We never arrive, as long as we are on this side of Heaven there is more to learn.;DeBorrah K. Ogans; The Enchanting Legends Of Shiloh Mansion: The Young King;love
20433;But I was also told to hold doors for women and children, to shake hands with a firm grip, to remember people's names, and to always give the customer a little more than expected.;Nicholas Sparks; The Longest Ride;love
21771;Often, under the layers of our maturity is a child’s insecurity screaming for love and attention.;Charles F. Glassman; Brain Drain   The Breakthrough That Will Change Your Life;love
21912;He's already tan, and leaning on the rail in his yellow linen shirt, with the pure glory of Venice racing behind him, I think he looks like someone I'd like to run off with, if I already hadn't.;Frances Mayes; Bella Tuscany;love
21957;It seems like I have lived a lifetime in just one day.;Siobhan Davis; True Calling;love
8038;You are a pool of clear water where the light plays;Jeanette Winterson; Written on the Body;love
10891;Harness the power of today. Seize the blessings of today! Make something happen, enhance your life, make someone laugh, help a friend, love, love, love!;Steve Maraboli; Unapologetically You: Reflections on Life and the Human Experience;love
10978;With what can we feed the soul in the world of emptiness other than with prayer?;Sorin Cerin; Wisdom Collection: The Book of Wisdom;love
14564;"you’re so afraid of everyone pitying you that you’d rather nurture their contempt than accept their forgiveness""- Stacey Michaels";Nicola Sinclair; Redemption;love
21868;He told her over and over how beautiful she was but, to her, his beauty was beyond any words she would ever be able to speak.;Kathleen Valentine; Depraved Heart: A Novel;love
5747;How we traverse the space between us when conflict arises has a profound effect on the health and longevity of our relationships.;Sharon Salzberg; Real Love: The Art of Mindful Connection;love
5096;A mind might ponder its thought for ages, and not gain so much self-knowledge as the passion of love shall teach it in a day.;Ralph Waldo Emerson; Self-Reliance and Other Essays;love
3512;Anggap aja kamu ikan lele. Bisa berkembang biak di septic tank. Dia hidup bahagia di tempat sampahnya.;Dee Lestari; Madre: Kumpulan Cerita;love
24778;My feelings remain the same for you, but you chose to walk away...;Kumar Milan; Things End But Memories Last Forever;love
19271;In its essence, a meal is a creative act that has its genesis in the mind of someone who cares enough to plan it, gather ingredients and labor over its creation.;Andi Ashworth; Real Love for Real Life: The Art and Work of Caring;love
17440;Sometimes therapy takes years and years, and sometimes it can happen in one miraculous instant, a lifetime of doubt and self-hatred healed in a moment of astounding love.;Mia Sheridan; Stinger;love
6500;Let your innocence show as brilliant as your dreams because only then can you discover the true beauty of love.;Imania Margria; Secrets of My Heart;love
6536;The church preach so much about power in the kingdom of God but we don't talk about wisdom. Everybody goes for power forgeting that power without wisdom can be disastrous.;Patience Johnson; Why Does an Orderly God Allow Disorder;love
13434;I have read like a man on fire my whole life because the genius of English teachers touched me with the dazzling beauty of language.;Pat Conroy; A Lowcountry Heart: Reflections on a Writing Life;love
2059;"Some men die for lack of love…some die because of it. Think about it."" - Daemon";Anne Bishop; Daughter of the Blood;love
27290;You are too kind, and I am unused to it. For your own sake, do not stroke my misery. It knows not how to respond, but with a vicious bite.;Anne Fortier; The Lost Sisterhood;love
18261;I found the best thingI could dowas just to type awayat my own workand let the dyingdieas they always have.;Charles Bukowski; You Get So Alone at Times That it Just Makes Sense;love
17900;"Why the anchor?""""Because sometimes, it's nice to feel like there's someone who can save you.";L.J. Shen; Defy;love
12454;If the idea of loving those whom you have been taught to recognize as your enemies is too overwhelming, consider more deeply the observation that we are all much more alike than we are unalike.;Aberjhani; Splendid Literarium: A Treasury of Stories, Aphorisms, Poems, and Essays;love
27958;Just bear a passing resemblance to a fictional romantic trope I like and I will love you forever. We're all just trying to find the Mark Darcy of our workplace, aren't we?;Mindy Kaling; Why Not Me?;love
10770;Next to God, Family is the best thing.;April  Floyd; Unique: Take a Look Into a Unique World & a Unique Life;love
12055;Sleeping with a woman is easy. Loving her is an entirely different thing.;Margaret Way; A Faulkner Possession;love
3753;I can do all things through Christ who strengthens me..Phil 3:14;Aileen  Friedman; Changes From a Sunset;love
26857;Kate realized she had a grave problem. She was infatuated. Or mildly insane. Possibly both.;Tessa Dare; A Lady by Midnight;love
5198;"There's a story behind every ""I don't believe in love""""Period";Abhysheq Shukla; Feelings Undefined: The Charm of the Unsaid;love
23475;The vastest things are those we may not learn.We are not taught to die, nor to be born,Nor how to burnWith love.How pitiful is our enforced returnTo those small things we are the masters of.;Mervyn Peake; Peake's Progress: Selected Writings and Drawings;love
400;I don't care what you say to me. I care what you share with me.;Santosh Kalwar; Quote Me Everyday;love
16852;...it was inevitable I loved you - we were soul mates - for the same reason, we were fated to suffer...;John Geddes; A Familiar Rain;love
26271;Amantium irae amoris integratio estA Latin saying that means Lovers’ quarrels are the renewal of love;Janet Aylmer; Sophie's Salvation;love
19709;As a lover or a dipsomaniac, I've no doubt of your being a most fascinating specimen. But as a combiner of forms, you must honestly admit it, you're a bore.;Aldous Huxley; Crome Yellow;love
2420;"‎""Do you know that nothing you do in this life will ever matter, unless it is about loving God and loving the people he has made?";Francis Chan; Crazy Love: Overwhelmed by a Relentless God;love
187;To be fully seen by somebody, then, and be loved anyhow - this is a human offering that can border on miraculous.;Elizabeth Gilbert; Committed: A Skeptic Makes Peace with Marriage;love
3531;"This should never have happened, Brishen. We were unimportant, you and I. We weren't supposed to mean anything to anyone.""""Woman of day,"" he said slowly. ""You mean everything to me.";Grace Draven; Radiance;love
3816;Alex chuckled and whispered in her ear. “I’m feeling huge . . . I mean I have this huge desire . . . Crap, you feel good tonight. And you smell so good.;Melisa M. Hamling; Twenty Weeks;love
2959;The level of success you experience externally is a reflection of your level of personal development internally.;Mensah Oteh; Wisdom Keys in Words: A collection of the Inspirational words that will change your life;love
3771;Dammit. I think I’m in like with the naked man I met today.;R.J. Gonzales; Mundahlia;love
9131;"Do I need a safe word?"" ""You either tust me or you don't, Emily.";Laurelin Paige; First Touch;love
12911;Be strong enough to move mountains.;Karen Quan; Better to be able to love than to be loveable;love
3064;"The supreme happiness of life is the conviction that we are loved; loved for ourselves—say rather, loved in spite of ourselves.";Victor Hugo; Les Misérables;love
22600;My inner wolf seeks to destroy the one I love for reasons of self-preservation. For the only cure to free my soul is to be killed, in an act of true love, by the one who loves me most..;Bree Despain; The Dark Divine;love
9609;Love holds the key to every heart.;Lailah Gifty Akita; Pearls of  Wisdom: Great  mind;love
7210;You asked if I loved her? I can't even whisper her name, my heart would burst out of my chest.;Ahmad Ardalan; Baghdad: The Final Gathering;love
13651;Knock. Pound on heaven’s door if you have to, but don’t give up. God hears all sincere prayers.;Toni Sorenson; Aligned By Christ;love
9927;When it comes to love, compassion, and other feelings of the heart, I am rich.;Muhammad Ali; The Soul of a Butterfly: Reflections on Life's Journey;love
8299;Without Christ a people may always have the freedom to do, but never the power to complete.;Criss Jami; Healology;love
10977;"When you live in love and light, you will not go unseen; ignite the world with every flame of your being.";Alexandra Elle; Words from a Wanderer;love
13494;Patroclus,' he said. He was always better with words than I.;Madeline Miller; The Song of Achilles;love
7260;"Love is like the wild rose-briar; Friendship like the holly-tree. The holly is dark when the rose-briar blooms, but which will bloom most constantly?";Emily Brontë; The Complete Poems;love
3862;Hope is the easiest thing that turn into dust.;Prachi Prangya Agasti; Dance with Me;love
11824;I have, he went on, betrayed myself withbelief, deluded myself with lovetricked myself with sex.the bottle is damned faithful, he said,the bottle will not lie;Charles Bukowski; Play the Piano Drunk Like a Percussion Instrument Until the Fingers Begin to Bleed a Bit;love
24236;LOGAN: ...Izzy could do whatever the hell she wanted. All she needed to do was not give a sh*t about fitting in.;Sam Crescent; Ugly;love
20152;It's the closest place to nowhere that she can think of. And nowhere is exactly where she wants to be today.;Lisa Genova; Love Anthony;love
23855;May the grey winds guide you and keep you safe.;Annie Morecambe; Isle of Tana;love
21223;Good humour was miles behind a second cup of morning tea. It was too early for nonsense.;Zeenat Mahal; The Contract;love
7793;"Alys,"" he exclaims happily. ""I think this might work out. You're going to be excellent in getting rid of unwanted visitors.""""I'm not a fucking Rottweiler,"" I say indignantly.";Lily Morton; Keep Me;love
27605;I won't be a substitute for what you cannot have. Especially not if it is my sister's shadow you mean to place me in.;Kristen Callihan; Moonglow;love
20803;"It's never too late to come home,"" he said, and pulled me gently, insistently toward him.""All you have to do...is stop moving away.";Joanne Harris; Five Quarters of the Orange;love
8719;Homosexuals are not made, they are born.;Abhijit Naskar; Either Civilized or Phobic: A Treatise on Homosexuality;love
2348;Defeat anger, stop using it as a shield against truth, and you will find the compassion you need to forgive the people you love.;Glenn Beck; The 7: Seven Wonders That Will Change Your Life;love
13915;"You should either be like the candle that produces light or you live like mirror which reflects it. Pray for love; Sow love, Show love and Share love!";Israelmore Ayivor; Daily Drive 365;love
10854;The difference between impossible and possible is a willing heart.;Lolly Daskal; Thoughts Spoken From The Heart;love
9882;Please kiss that girl a million times.;Maggie Stiefvater; Forever;love
3153;My parents have been married forty-two years. I wonder how many of those were happy.;Michael Palin; Diaries 1969-1979: The Python Years;love
16571;The clearing is often only happening for us, and those who love us most cannot see or believe in our nascent visions.;Bryant McGill; Simple Reminders: Inspiration for Living Your Best Life;love
10106;Our wings are small but the ripples of the heart are infinite.;Amit Ray; Meditation: Insights and Inspirations;love
17075;To become desireless, to not want anything external to ourselves, means we rest in ourselves, whole, joyous and happy. In this state, our true nature is constant love, unending love, giving love.;Lawrence Crane; The Abundance Book;love
19269;Some people feed you with love.;Graham Joyce; Some Kind of Fairy Tale;love
5661;A man has never told me he likes me. Like is more interesting than love.;Roxane Gay; Difficult Women;love
11404;Erupting like fiery autumn leaves between silksas skin meets skinflames that lick everythingand consume all there is.;Sreesha Divakaran; Wine, Fire, Satin, Dew;love
